date,district,broiler_price_per_kg,maize_price_per_quintal,soybean_price_per_quintal,palm_oil_price,temperature_celsius,rainfall_mm,hpai_district_flag,hpai_adjacent_district_flag,egg_price,necc_zone_avg_price,doc_placement,fuel_price,transport_disruption,ncdex_maize_futures,global_poultry_index,google_trends
2023-01-15,gorakhpur,159.12,2162.5,3625.8,5705.2,28.2,13.5,0,0,6.4,159.8,10450,80.5,0,2182.5,109.8,55.8
2023-01-16,gorakhpur,160.56,2168.3,3630.2,5710.3,28.8,14.2,0,0,6.5,160.5,10500,80.7,0,2188.3,110.5,56.3
2023-01-17,gorakhpur,161.34,2170.5,3635.5,5715.1,29.2,15.8,0,0,6.6,161.2,10550,80.8,0,2190.5,111.2,57.1
2023-01-18,gorakhpur,162.78,2175.2,3640.8,5720.2,29.8,16.5,0,0,6.7,162.1,10600,81.0,0,2195.2,112.1,57.8
2023-01-19,gorakhpur,163.12,2178.1,3645.1,5725.3,30.2,17.2,0,0,6.8,162.8,10650,81.2,0,2198.1,112.8,58.5
2023-01-20,gorakhpur,164.56,2182.3,3650.5,5730.1,30.8,18.5,0,0,6.9,163.5,10700,81.3,0,2202.3,113.5,59.2
2023-01-21,gorakhpur,165.34,2185.8,3655.8,5735.2,31.2,19.2,0,0,7.0,164.2,10750,81.5,0,2205.8,114.2,59.8
2023-01-22,gorakhpur,166.78,2190.1,3660.2,5740.3,31.8,20.5,0,0,7.1,165.1,10800,81.7,0,2210.1,115.1,60.5
2023-01-23,gorakhpur,167.12,2192.5,3665.5,5745.1,32.2,21.8,0,0,7.2,165.8,10850,81.8,0,2212.5,115.8,61.2
2023-01-24,gorakhpur,168.56,2198.3,3670.8,5750.2,32.8,22.3,0,0,7.3,166.5,10900,82.0,0,2218.3,116.5,61.8
2023-01-25,gorakhpur,169.34,2200.5,3675.2,5755.3,33.2,23.5,0,0,7.4,167.2,10950,82.2,0,2220.5,117.2,62.5
2023-01-26,gorakhpur,170.78,2205.2,3680.5,5760.1,33.8,24.2,0,0,7.5,168.1,11000,82.3,0,2225.2,118.1,63.2
2023-01-27,gorakhpur,171.12,2208.1,3685.8,5765.2,34.2,25.8,0,0,7.6,168.8,11050,82.5,0,2228.1,118.8,63.8
2023-01-28,gorakhpur,172.56,2212.3,3690.2,5770.3,34.8,26.5,0,0,7.7,169.5,11100,82.7,0,2232.3,119.5,64.5
2023-01-29,gorakhpur,173.34,2215.8,3695.5,5775.1,35.2,27.2,0,0,7.8,170.2,11150,82.8,0,2235.8,120.2,65.2
2023-01-30,gorakhpur,174.78,2220.1,3700.8,5780.2,35.8,28.5,0,0,7.9,171.1,11200,83.0,0,2240.1,121.1,65.8
2023-01-31,gorakhpur,175.12,2222.5,3705.2,5785.3,36.2,29.2,0,0,8.0,171.8,11250,83.2,0,2242.5,121.8,66.5
2023-02-01,gorakhpur,176.56,2228.3,3710.5,5790.1,36.8,30.5,0,0,8.1,172.5,11300,83.3,0,2248.3,122.5,67.2
2023-02-02,gorakhpur,177.34,2230.5,3715.8,5795.2,37.2,31.2,0,0,8.2,173.2,11350,83.5,0,2250.5,123.2,67.8
2023-02-03,gorakhpur,178.78,2235.2,3720.2,5800.3,37.8,32.5,0,0,8.3,174.1,11400,83.7,0,2255.2,124.1,68.5
2023-02-04,gorakhpur,179.12,2238.1,3725.5,5805.1,38.2,33.2,0,0,8.4,174.8,11450,83.8,0,2258.1,124.8,69.2
2023-02-05,gorakhpur,180.56,2242.3,3730.8,5810.2,38.8,34.5,0,0,8.5,175.5,11500,84.0,0,2262.3,125.5,69.8
2023-02-06,gorakhpur,181.34,2245.8,3735.2,5815.3,39.2,35.2,0,0,8.6,176.2,11550,84.2,0,2265.8,126.2,70.5
2023-02-07,gorakhpur,182.78,2250.1,3740.5,5820.1,39.8,36.5,0,0,8.7,177.1,11600,84.3,0,2270.1,127.1,71.2
2023-02-08,gorakhpur,183.12,2252.5,3745.8,5825.2,40.2,37.2,0,0,8.8,177.8,11650,84.5,0,2272.5,127.8,71.8
2023-02-09,gorakhpur,184.56,2258.3,3750.2,5830.3,40.8,38.5,0,0,8.9,178.5,11700,84.7,0,2278.3,128.5,72.5
2023-02-10,gorakhpur,185.34,2260.5,3755.5,5835.1,41.2,39.2,0,0,9.0,179.2,11750,84.8,0,2280.5,129.2,73.2
2023-02-11,gorakhpur,186.78,2265.2,3760.8,5840.2,41.8,40.5,0,0,9.1,180.1,11800,85.0,0,2285.2,130.1,73.8
2023-02-12,gorakhpur,187.12,2268.1,3765.2,5845.3,42.2,41.2,0,0,9.2,180.8,11850,85.2,0,2288.1,130.8,74.5
2023-02-13,gorakhpur,188.56,2272.3,3770.5,5850.1,42.8,42.5,0,0,9.3,181.5,11900,85.3,0,2292.3,131.5,75.2
2023-02-14,gorakhpur,189.34,2275.8,3775.8,5855.2,43.2,43.2,0,0,9.4,182.2,11950,85.5,0,2295.8,132.2,75.8
2023-02-15,gorakhpur,190.78,2280.1,3780.2,5860.3,43.8,44.5,0,0,9.5,183.1,12000,85.7,0,2300.1,133.1,76.5
2023-02-16,gorakhpur,191.12,2282.5,3785.5,5865.1,44.2,45.2,0,0,9.6,183.8,12050,85.8,0,2302.5,133.8,77.2
2023-02-17,gorakhpur,192.56,2288.3,3790.8,5870.2,44.8,46.5,0,0,9.7,184.5,12100,86.0,0,2308.3,134.5,77.8
2023-02-18,gorakhpur,193.34,2290.5,3795.2,5875.3,45.2,47.2,0,0,9.8,185.2,12150,86.2,0,2310.5,135.2,78.5
2023-02-19,gorakhpur,194.78,2295.2,3800.5,5880.1,45.8,48.5,0,0,9.9,186.1,12200,86.3,0,2315.2,136.1,79.2
2023-02-20,gorakhpur,195.12,2298.1,3805.8,5885.2,46.2,49.2,0,0,10.0,186.8,12250,86.5,0,2318.1,136.8,79.8
2023-02-21,gorakhpur,196.56,2302.3,3810.2,5890.3,46.8,50.5,0,0,10.1,187.5,12300,86.7,0,2322.3,137.5,80.5
2023-02-22,gorakhpur,197.34,2305.8,3815.5,5895.1,47.2,51.2,0,0,10.2,188.2,12350,86.8,0,2325.8,138.2,81.2
2023-02-23,gorakhpur,198.78,2310.1,3820.8,5900.2,47.8,52.5,0,0,10.3,189.1,12400,87.0,0,2330.1,139.1,81.8
2023-02-24,gorakhpur,199.12,2312.5,3825.2,5905.3,48.2,53.2,0,0,10.4,189.8,12450,87.2,0,2332.5,139.8,82.5
2023-02-25,gorakhpur,200.56,2318.3,3830.5,5910.1,48.8,54.5,0,0,10.5,190.5,12500,87.3,0,2338.3,140.5,83.2
2023-02-26,gorakhpur,201.34,2320.5,3835.8,5915.2,49.2,55.2,0,0,10.6,191.2,12550,87.5,0,2340.5,141.2,83.8
2023-02-27,gorakhpur,202.78,2325.2,3840.2,5920.3,49.8,56.5,0,0,10.7,192.1,12600,87.7,0,2345.2,142.1,84.5
2023-02-28,gorakhpur,203.12,2328.1,3845.5,5925.1,50.2,57.2,0,0,10.8,192.8,12650,87.8,0,2348.1,142.8,85.2
2023-03-01,gorakhpur,204.56,2332.3,3850.8,5930.2,50.8,58.5,0,0,10.9,193.5,12700,88.0,0,2352.3,143.5,85.8
2023-03-02,gorakhpur,205.34,2335.8,3855.2,5935.3,51.2,59.2,0,0,11.0,194.2,12750,88.2,0,2355.8,144.2,86.5
2023-03-03,gorakhpur,206.78,2340.1,3860.5,5940.1,51.8,60.5,0,0,11.1,195.1,12800,88.3,0,2360.1,145.1,87.2
2023-03-04,gorakhpur,207.12,2342.5,3865.8,5945.2,52.2,61.2,0,0,11.2,195.8,12850,88.5,0,2362.5,145.8,87.8
2023-03-05,gorakhpur,208.56,2348.3,3870.2,5950.3,52.8,62.5,0,0,11.3,196.5,12900,88.7,0,2368.3,146.5,88.5
2023-03-06,gorakhpur,209.34,2350.5,3875.5,5955.1,53.2,63.2,0,0,11.4,197.2,12950,88.8,0,2370.5,147.2,89.2
2023-03-07,gorakhpur,210.78,2355.2,3880.8,5960.2,53.8,64.5,0,0,11.5,198.1,13000,89.0,0,2375.2,148.1,89.8
2023-03-08,gorakhpur,211.12,2358.1,3885.2,5965.3,54.2,65.2,0,0,11.6,198.8,13050,89.2,0,2378.1,148.8,90.5
2023-03-09,gorakhpur,212.56,2362.3,3890.5,5970.1,54.8,66.5,0,0,11.7,199.5,13100,89.3,0,2382.3,149.5,91.2
2023-03-10,gorakhpur,213.34,2365.8,3895.8,5975.2,55.2,67.2,0,0,11.8,200.2,13150,89.5,0,2385.8,150.2,91.8
2023-03-11,gorakhpur,214.78,2370.1,3900.2,5980.3,55.8,68.5,0,0,11.9,201.1,13200,89.7,0,2390.1,151.1,92.5
2023-03-12,gorakhpur,215.12,2372.5,3905.5,5985.1,56.2,69.2,0,0,12.0,201.8,13250,89.8,0,2392.5,151.8,93.2
2023-03-13,gorakhpur,216.56,2378.3,3910.8,5990.2,56.8,70.5,0,0,12.1,202.5,13300,90.0,0,2398.3,152.5,93.8
2023-03-14,gorakhpur,217.34,2380.5,3915.2,5995.3,57.2,71.2,0,0,12.2,203.2,13350,90.2,0,2400.5,153.2,94.5
2023-03-15,gorakhpur,218.78,2385.2,3920.5,6000.1,57.8,72.5,0,0,12.3,204.1,13400,90.3,0,2405.2,154.1,95.2
2023-03-16,gorakhpur,219.12,2388.1,3925.8,6005.2,58.2,73.2,0,0,12.4,204.8,13450,90.5,0,2408.1,154.8,95.8
2023-03-17,gorakhpur,220.56,2392.3,3930.2,6010.3,58.8,74.5,0,0,12.5,205.5,13500,90.7,0,2412.3,155.5,96.5
2023-03-18,gorakhpur,221.34,2395.8,3935.5,6015.1,59.2,75.2,0,0,12.6,206.2,13550,90.8,0,2415.8,156.2,97.2
2023-03-19,gorakhpur,222.78,2400.1,3940.8,6020.2,59.8,76.5,0,0,12.7,207.1,13600,91.0,0,2420.1,157.1,97.8
2023-03-20,gorakhpur,223.12,2402.5,3945.2,6025.3,60.2,77.2,0,0,12.8,207.8,13650,91.2,0,2422.5,157.8,98.5
2023-03-21,gorakhpur,224.56,2408.3,3950.5,6030.1,60.8,78.5,0,0,12.9,208.5,13700,91.3,0,2428.3,158.5,99.2
2023-03-22,gorakhpur,225.34,2410.5,3955.8,6035.2,61.2,79.2,0,0,13.0,209.2,13750,91.5,0,2430.5,159.2,99.8
2023-03-23,gorakhpur,226.78,2415.2,3960.8,6040.3,61.8,80.5,0,0,13.1,210.1,13800,91.7,0,2435.2,160.1,100.5
2023-03-24,gorakhpur,227.12,2418.1,3965.2,6045.1,62.2,81.2,0,0,13.2,210.8,13850,91.8,0,2438.1,160.8,101.2
2023-03-25,gorakhpur,228.56,2422.3,3970.5,6050.2,62.8,82.5,0,0,13.3,211.5,13900,92.0,0,2442.3,161.5,101.8
2023-03-26,gorakhpur,229.34,2425.8,3975.8,6055.3,63.2,83.2,0,0,13.4,212.2,13950,92.2,0,2445.8,162.2,102.5
2023-03-27,gorakhpur,230.78,2430.1,3980.2,6060.1,63.8,84.5,0,0,13.5,213.1,14000,92.3,0,2450.1,163.1,103.2
2023-03-28,gorakhpur,231.12,2432.5,3985.5,6065.2,64.2,85.2,0,0,13.6,213.8,14050,92.5,0,2452.5,163.8,103.8
2023-03-29,gorakhpur,232.56,2438.3,3990.8,6070.3,64.8,86.5,0,0,13.7,214.5,14100,92.7,0,2458.3,164.5,104.5
2023-03-30,gorakhpur,233.34,2440.5,3995.2,6075.1,65.2,87.2,0,0,13.8,215.2,14150,92.8,0,2460.5,165.2,105.2
2023-03-31,gorakhpur,234.78,2445.2,4000.5,6080.2,65.8,88.5,0,0,13.9,216.1,14200,93.0,0,2465.2,166.1,105.8
